config,model_name,generator,use_ambisonic,rotate_canonical,use_waveform,use_n2_features,use_distance_bins,use_rgb,depth_dir,rep_kind,rep_K,gt_energy_window,depth_weight,foa_weight,hist_weight,kl_weight,lambda_sh,lambda_energy,lambda_sparsity,lambda_kl_energy,lambda_kd,epochs,lr,batch_size,val_iter,freeze_epochs
foa_oracle_nc1.yaml,foa_oracle,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
foa_oracle_nc3.yaml,foa_oracle,unet_256,true,true,,,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
foa_v2.yaml,foa_v2,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.0,,,,,,40,0.001,32,4,0
foa_v2_js.yaml,foa_v2_js,unet_256,true,,,,,,,,,,1.0,0.1,0.1,0.0,,,,,,40,0.001,32,4,0
foa_v2_js_rgb.yaml,foa_v2_js_rgb,unet_256,true,true,,,,true,,,,,1.0,0.1,,,,,,,,40,0.001,4,4,
n2_6ch_input.yaml,n2_6ch_input,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
n2_dual_enc.yaml,n2_dual_enc,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
n2_foa_stft_film.yaml,n2_foa_stft_film,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
n2_tbin_crossattn.yaml,n2_tbin_crossattn,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
n2_temap_input.yaml,n2_temap_input,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,60,0.001,32,4,
n2_temap_input_overlap3.yaml,n2_temap_input,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,40,0.001,32,4,
n2_temporal_energy.yaml,n2_temporal_energy,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,0.1,,,,60,0.001,32,4,
n2_temporal_energy_overlap3.yaml,n2_temporal_energy,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,0.1,,,,40,0.001,32,4,
n2_temporal_energy_overlap3_deccond.yaml,n2_temporal_energy,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,0.1,,,,40,0.001,32,4,
n2_temporal_energy_overlap3_signed.yaml,n2_temporal_energy,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,0.1,,,,40,0.001,32,4,
n2_temporal_energy_overlap3_wloss.yaml,n2_temporal_energy,unet_256,true,true,,true,,,,,,,1.0,,,,0.1,,,,,40,0.001,32,4,
