path,type,size_estimate,matched_run_id,notes
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp956_R5D_cyl_horiz_sh_bs48_r3,checkpoint,7.1G,,no ledger row matches (extracted exp_id=exp956)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp957_R5E_haz_softhit075_bs48_r3,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp957)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp968_R4B_sh_L2_l008_logd_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp968)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp969_R4B_sh_L2_l015_logd_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp969)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp970_R4B_sh_L2_l020_logd_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp970)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp971_R4B_sh_l010_sq_q050_t003_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp971)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp972_R4B_sh_l010_no_farmask_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp972)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp973_R4G_sq_q050_t002_l025_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp973)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp974_R4G_sq_q050_t003_l050_sh010_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp974)
checkpoints/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp975_R4G_sq_q050_t003_l100_bs48_r4,checkpoint,6.3G,,no ledger row matches (extracted exp_id=exp975)
